Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Academy Instructor	knightspassage	academy_instructor_kp	Character	Ascended	Federal Police Agent	2	{asc}	{asc}	2			Fixed	academy instructor federal police agent	Stealth. At the end of your turn, place a counter on this card. Remove two counters from this card :: Put an "Agent" Character token into play. It has a printed Fighting of 2, Stealth, and a printed cost of {asc}2.	
Advance Notice	knightspassage	advance_notice_kp	Event	Ascended	Event	0	{asc}					Fixed	advance notice	Limited. Draw 2 cards. You may then pay 1 Power to draw an additional 3 cards. Whether you pay the additional power or not, place 2 cards from your hand on the bottom of your deck in any order after drawing.	
Ape Crusaders	knightspassage	ape_crusaders_kp	Character	Jammers	Masked Vigilantes	3	{jam}	{jam}{tek}	4			Fixed	ape crusader masked vigilante	When a Character you control with a printed cost of 3 or less takes damage from a 1-cost card, reduce that damage to 0.	
Arcane Esotericist	knightspassage	arcane_esotericist_kp	Character	Eaters of the Lotus	Sinister Fire Advisor	2		{lot}{mag}	2			Fixed	arcane esotericist sinister fire advisor	If this card is in your hand and you have {lot} in your resource pool, when an opponent's effect would damage or smoke a Character you control, you may discard this card and target a Character controlled by that opponent :: Inflict 3 Unstoppable non-combat damage on target. This effect is Not Cumulative.	
Auramancer	knightspassage	auramancer_kp	Character	Four Monarchs	Netherworld Sorcerer	2		{mon}{mag}	2			Fixed	auramancer netherworld sorcerer	When an opponent's effect causes one or more cards to be removed from a smoked pile, gain 1 Power and this card gains +1 Fighting until it leaves play.	
Bending the Path	knightspassage	bending_the_path_kp	Event	Chi	Event	0	{chi}{chi}					Fixed	bending path	Target an attacker and an interceptor before they enter combat with each other :: Inflict X non-combat damage on the attacker and the interceptor ceases intercepting. X = whichever is lower: the interceptor's Fighting or the amount of damage required to reduce the attacker's Fighting to 1.	
Blast Aura	knightspassage	blast_aura_kp	State	Magic	Spell State	1	{mag}{mag}					Fixed	blast aura spell	Schtick. Not Cumulative. Play on a Character. Subject gains +1 Fighting and +1 combat damage. Turn subject and target a Character at this location :: Inflict 2 non-combat damage on target.	
Church Archivist	knightspassage	church_archivist_kp	Character	Ascended	Sworn Bureaucrat	3	{asc}{asc}	{asc}	4			Fixed	church archivist sworn bureaucrat	Pay 1 Power and target an undamaged Feng Shui Site :: Turn target face down and remove any non-damage counters from the card. Reveal a Feng Shui Site you control and target a {mag} card in play :: Cancel target until the end of the turn.	
Collateral Damage	knightspassage	collateral_damage_kp	Edge	Jammers	Explosive Edge	1	{jam}					Fixed	collateral damage explosive	Once per turn, when a Character you control smokes a Character with a higher printed Fighting, gain 1 Power and inflict 2 non-combat damage on the front-row Site at that location.	
Crown of Thorns	knightspassage	crown_of_thorns_kp	State	Eaters of the Lotus	State	3	{lot}{lot}					Fixed	crown thorn	Play on a Character. Subject gains +2 Fighting and Assassinate. When this card is played, put 2 "Thorn" Character tokens into play. They have a printed Fighting of 2, Assassinate, and a printed cost of {lot}2.	
Death Shadow	knightspassage	death_shadow_kp	Character	Ascended	Mercenary Agent	4	{asc}{asc}{asc}	{chi}	6			Fixed	death shadow mercenary agent	Unique. Reduce to 0 all combat damage inflicted on this card by intercepting Characters. Once per turn, when this card smokes the target of its attack, take control of an opponent's Character with a printed Fighting of 1.	
Devourer of Souls	knightspassage	devourer_of_souls_kp	Character	Eaters of the Lotus	Hungry, Hungry Horror	4	{lot}{lot}	{lot}	6			Fixed	devourer soul hungry horror	Once per turn, you may toast a Character in your smoked pile :: Heal this card.	
Electro-Glider	knightspassage	electro-glider_kp	State	Jammers	Heavily-Armed State	3	{jam}					Fixed	electro glider heavily armed	Vehicle. Play on a Character. Subject gains Mobility and +4 Fighting. Subject may attack back-row Sites.	
Elle Mactans	knightspassage	elle_mactans_kp	Character	Ascended	Lodge Agent	5	{asc}{asc}{asc}	{asc}{chi}	7			Fixed	elle mactans lodge agent	Unique. Stealth. When this card uses Stealth, gain 1 Power. Reduce to 0 any damage inflicted on this card by a {mag} or {tek} card.	
Fallen Mentor	knightspassage	fallen_mentor_kp	Event	Guiding Hand	Event	0	{han}{han}					Fixed	fallen mentor	Play when a Unique Character you control is smoked by an opponent. Put X "Martial Artist" Character tokens into play. They have a printed Fighting of 2, Superleap, and a printed cost of {han}2. X = half the cost of the smoked Character, rounded down.	
Fealty to the Wheel	knightspassage	fealty_to_the_wheel_kp	Edge	Ascended	Edge	1	{asc}{asc}{asc}					Fixed	fealty wheel	Limited. Once during your Main Shot, you may discard a card from your hand :: Put a "Sworn" Character token into play. It has a printed Fighting of 1 and a printed cost of {asc}1. When this card leaves play, toast all "Sworn" Character tokens.	
Fractured Soul	knightspassage	fractured_soul_kp	Event	Eaters of the Lotus, Four Monarchs	Darkness Event	0	{lot}{mon}{mag}{mag}					Fixed	fractured soul darkness	Target a Character :: Smoke target. Target's controller puts X "Spirit" Character tokens into play. They have a printed Fighting of 1 and a printed cost of {mon}1. X = target's cost.	
