Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Abominable Lab	yearofthedragon	abominable_lab_yotd	Site	Architects of the Flesh	Site	2		{arc}	0	1	5	Fixed	abominable lab	Abominable Lab provides one {tek} resource for each Buro Character and each PubOrd Character you control.	
Abysmal Absorber	yearofthedragon	abysmal_absorber_yotd	Character	Eaters of the Lotus	Netherworld Demon	3	{lot}{mag}	{lot}	3	0	0	Fixed	abysmal absorber netherworld demon	When Abysmal Absorber smokes a Character by inflicting combat damage, toast that Character instead and Abysmal Absorber gains +1 Fighting until it leaves play.	
Amulet of the Turtle	yearofthedragon	amulet_of_the_turtle_yotd	State	Magic	State	0	{mag}		0	0	0	Fixed	amulet turtle	Play on a Character. Redirect all damage inflicted on subject to this card. Smoke Amulet of the Turtle when it accumulates X damage; any damage in excess of X is immediately inflicted on subject. X= the number of {mag} resources in your pool.	
Arcanowave Reinforcer	yearofthedragon	arcanowave_reinforcer_yotd	Edge	Architects of the Flesh	Edge	2	{arc}{arc}{tek}		0	0	0	Fixed	arcano wave reinforcer	All Characters you control inflict +1 damage and gain the designator Abomination.	
Birdhouse Cafe	yearofthedragon	birdhouse_cafe_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	birdhouse cafe	At the end of your turn, if any opponent is at least as close to victory as you are, unturn all Characters that participated in attacks this turn.	
Blade Palm	yearofthedragon	blade_palm_yotd	Event	Chi	Event	2	{chi}{chi}		0	0	0	Fixed	blade palm	Return target card to its owner's hand.	
Blessed Orchard	yearofthedragon	blessed_orchard_yotd	Site	Feng Shui Site	Feng Shui Site	0			0	1	7	Fixed	blessed orchard	When an opponent declares an attack that targets Blessed Orchard, you may steal 1 Power from that opponent.	
Blood of the Valiant	yearofthedragon	blood_of_the_valiant_yotd	Event	Guiding Hand	Event	1	{han}{han}	{han}	0	0	0	Fixed	blood valiant	Play during an attack. Until the end of the attack, target attacker takes no combat damage from interceptors.	
Blue Monk	yearofthedragon	blue_monk_yotd	Character	Guiding Hand	Kung Fu Infiltrator	3	{han}	{han}{chi}	4	0	0	Fixed	blue monk kung fu infiltrator	Choose a designator when Blue Monk enters play. Blue Monk cannot be intercepted by Characters with the chosen designator.	
Bronze Sentinel	yearofthedragon	bronze_sentinel_yotd	Character	Dragons	Righteous Automaton	2	{dra}	{dra}	2	0	0	Fixed	bronze sentinel righteous automaton	During your Main Shot, toast a Feng Shui Site you control :: Bronze Sentinel gains +X Fighting until the end of the turn. X= the number of Characters in your smoked pile.	
