Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Monkey Chang	combatinkowloon	monkey_chang_cik_400	Character	Ascended	Transformed Martial Artist	5	{asc}{asc}	{chi}	7	0	0	Fixed	monkey chang transformed martial artist	"Unique. When """"Monkey"""" Chang turns to attack, target up to two Characters in play :: Targets cannot intercept him during this attack."	
1,000 Corpses	combatinkowloon	1_000_corpses_cik_400	Character	Eaters of the Lotus	Horde of Undead	3		{lot}	3	0	0	Fixed	1000 corpse horde undead	At the end of any turn in which a Character was smoked, heal this card. Sacrifice one or more non-Undead Characters :: Play this card from your smoked pile at -X cost. X = the combined cost of the sacrificed Character(s).	
18 Bronze Men	combatinkowloon	18_bronze_men_cik_400	State	Guiding Hand	State	2	{han}{han}		0	0	0	Fixed	18 bronze men	Limited. Play on a front-row Site. All non-Unique Shaolin, Martial, and Kung Fu Characters you control gain +1 Fighting.	
Back for Seconds	combatinkowloon	back_for_seconds_cik_400	Event	Dragons	Event	1	{dra}		0	0	0	Fixed	back second	Target a Character :: Unturn target.	
Bamboo Cane	combatinkowloon	bamboo_cane_cik_400	State	Guiding Hand	Sword State	0	{han}{chi}		0	0	0	Fixed	bamboo cane sword	Weapon. Not cumulative. Play on a Character. Subject gains +2 combat damage. Smoke this card when combat damage is inflicted on subject. Reload: {han}{han}{han}{chi}1.	
Battle Suit	combatinkowloon	battle_suit_cik_400	State	Dragons	Collapsible State	3	{dra}{dra}{tek}	{tek}	0	0	0	Fixed	battle suit collapsible	Unique. Vehicle. Play on a Character. Subject gains +5 Fighting and Mobility. Turn a Character that is a legal subject for this card :: Place this card on that Character.	
Big Ass Car	combatinkowloon	big_ass_car_cik_400	State	Dragons	Gas-Guzzling State	1	{dra}{dra}		0	0	0	Fixed	big ass car gas guzzling	Vehicle. Play on a Character. Subject gains +1 Fighting. Turn :: Subject gains Mobility and Toughness: 1 until the end of the turn.	
Bite of the Jellyfish (CIK)	combatinkowloon	bite_of_the_jellyfish_cik_400	Event	Ascended	Event	0	{asc}{asc}		0	0	0	Fixed	bite jellyfish	One-Shot. Play when a Feng Shui Site is burned :: Steal all the Power of the player who burned that Site. (This includes any Power gained by burning for Power.)	
Bite of the Long Teeth	combatinkowloon	bite_of_the_long_teeth_cik_400	State	Eaters of the Lotus	Vampiric Martial Arts State	1	{lot}		0	0	0	Fixed	bite long teeth vampiric martial art	Schtick. Play on a Character. Subject gains +1 Fighting and +1 combat damage. When a Character is smoked at this location, you may remove X damage from subject. X = half the printed Fighting of the smoked Character (round up).	
Blade Palm	combatinkowloon	blade_palm_cik_400	Event	Chi	Event	2	{chi}{chi}		0	0	0	Fixed	blade palm	Target a card :: Return target to its owner's hand.	
Blue Monk (CIK)	combatinkowloon	blue_monk_cik_400	Character	Guiding Hand	Kung Fu Infiltrator	3	{han}	{han}{chi}	4	0	0	Fixed	blue monk kung fu infiltrator	Choose a designator when Blue Monk enters play. Blue Monk cannot be intercepted by Characters with the chosen designator.	
Breath of the Dragon	combatinkowloon	breath_of_the_dragon_cik_400	Event	Guiding Hand	Event	1	{han}{chi}{chi}{chi}		0	0	0	Fixed	breath dragon	Limited. Target an attacking Character :: Target gains +3 combat damage and Toughness: 2 until the end of the turn.	
Bribery	combatinkowloon	bribery_cik_400	Event	Eaters of the Lotus	Event	0	{lot}{lot}		0	0	0	Fixed	bribery	Give an opponent 1 Power and target a Character he or she controls with a printed numerical Fighting of 5 or less :: Take control of target until the end of the turn.	
